id_user,username,password,nama,nip,admin
1,scleminshaw62229,a3f05c8283e5350106829f855c93c07d,Susanne Cleminshaw,000.971.201.12,3
2,evinsen41308,a3f05c8283e5350106829f855c93c07d,Emelita Vinsen,766.733.612.30,3
3,emckintosh27828,a3f05c8283e5350106829f855c93c07d,Ernaline McKintosh,939.328.915.79,3
4,rcrews23114,a3f05c8283e5350106829f855c93c07d,Rollins Crews,371.637.804.50,1
5,alidgertwood27183,a3f05c8283e5350106829f855c93c07d,Archie Lidgertwood,354.178.904.16,1
6,vgarthside25866,a3f05c8283e5350106829f855c93c07d,Vern Garthside,853.222.430.13,1
7,tantyshev1532,a3f05c8283e5350106829f855c93c07d,Thaine Antyshev,227.940.772.05,3
8,ghancorn37833,a3f05c8283e5350106829f855c93c07d,Gene Hancorn,641.233.766.93,2
9,agoligher31368,a3f05c8283e5350106829f855c93c07d,Archambault Goligher,842.604.622.63,3
10,dchezier21951,a3f05c8283e5350106829f855c93c07d,Dani Chezier,834.061.604.15,3
